order_item_id,order_id,product_id,quantity,unit_price,cost_price,item_discount
1,1,32,2,42.00,12.00,0.00
2,2,29,1,54.99,18.00,0.00
3,2,11,1,69.99,28.00,0.00
4,2,12,2,88.00,30.00,8.80
5,3,35,1,29.99,9.00,0.00
6,3,2,1,399.99,210.00,0.00
7,4,32,1,42.00,12.00,0.00
8,4,28,1,329.99,140.00,0.00
9,5,18,2,59.99,20.00,0.00
10,6,17,1,159.99,55.00,0.00
11,6,38,3,199.99,78.00,0.00
12,6,27,1,32.00,11.00,3.20
13,6,19,1,169.99,62.00,0.00
14,7,37,2,29.99,8.50,0.00
15,8,27,2,32.00,11.00,0.00
16,8,28,1,329.99,140.00,0.00
17,8,21,1,129.99,45.00,0.00
18,9,19,1,169.99,62.00,0.00
19,9,9,1,34.99,12.00,0.00
20,9,26,1,24.99,6.50,0.00
21,10,30,2,28.00,7.00,0.00
22,10,32,1,42.00,12.00,0.00
23,11,4,1,69.99,22.00,0.00
24,11,17,1,159.99,55.00,0.00
25,11,3,1,119.99,48.00,0.00
26,12,37,1,29.99,8.50,0.00
27,13,16,1,74.99,26.00,7.50
28,13,14,1,68.00,24.00,3.40
29,14,10,1,79.99,32.00,8.00
30,14,33,1,289.99,115.00,0.00
31,15,7,1,249.99,110.00,0.00
32,16,18,1,59.99,20.00,6.00
33,17,4,2,69.99,22.00,0.00
34,18,19,1,169.99,62.00,0.00
35,18,1,1,179.99,75.00,0.00
36,19,28,1,329.99,140.00,0.00
37,19,22,2,99.99,38.00,0.00
38,20,2,1,399.99,210.00,0.00
39,21,17,1,159.99,55.00,0.00
40,21,24,1,69.99,25.00,0.00
41,22,27,2,32.00,11.00,0.00
42,23,29,1,54.99,18.00,0.00
43,23,34,1,64.99,22.00,0.00
44,24,30,1,28.00,7.00,0.00
45,25,3,1,119.99,48.00,0.00
46,26,6,1,49.99,18.50,7.50
47,27,17,2,159.99,55.00,0.00
48,28,36,1,94.99,34.00,0.00
49,29,23,1,89.99,32.00,0.00
50,30,35,2,29.99,9.00,0.00
51,31,22,1,99.99,38.00,0.00
52,31,4,1,69.99,22.00,0.00
53,32,1,1,179.99,75.00,0.00
54,32,32,1,42.00,12.00,0.00
55,33,35,2,29.99,9.00,0.00
56,33,17,1,159.99,55.00,0.00
57,33,29,1,54.99,18.00,0.00
58,34,32,1,42.00,12.00,0.00
59,34,24,1,69.99,25.00,0.00
60,34,18,1,59.99,20.00,0.00
61,34,26,1,24.99,6.50,0.00
62,35,30,1,28.00,7.00,0.00
63,36,37,1,29.99,8.50,0.00
64,37,31,1,22.00,5.50,0.00
65,38,26,1,24.99,6.50,0.00
66,38,5,1,49.99,16.00,2.50
67,39,4,1,69.99,22.00,0.00
68,39,17,1,159.99,55.00,0.00
69,39,8,1,89.99,38.00,4.50
70,40,11,1,69.99,28.00,0.00
71,41,34,1,64.99,22.00,0.00
72,42,25,2,39.95,14.00,0.00
73,43,37,1,29.99,8.50,0.00
74,44,3,1,119.99,48.00,0.00
75,44,22,2,99.99,38.00,5.00
76,45,3,3,119.99,48.00,0.00
77,45,23,1,89.99,32.00,0.00
78,46,20,2,99.99,35.00,0.00
79,47,29,1,54.99,18.00,0.00
80,48,5,1,49.99,16.00,0.00
81,48,4,1,69.99,22.00,0.00
82,49,20,2,99.99,35.00,0.00
83,50,32,1,42.00,12.00,0.00
84,50,18,2,59.99,20.00,0.00
85,51,38,1,199.99,78.00,0.00
86,52,15,1,28.00,8.50,0.00
87,53,4,1,69.99,22.00,0.00
88,53,7,1,249.99,110.00,0.00
89,53,36,2,94.99,34.00,0.00
90,54,18,2,59.99,20.00,0.00
91,54,6,1,49.99,18.50,5.00
92,54,16,1,74.99,26.00,0.00
93,55,29,1,54.99,18.00,0.00
94,55,30,3,28.00,7.00,0.00
95,55,2,2,399.99,210.00,0.00
