payment_id,order_id,payment_method,payment_status,amount,transaction_timestamp,gateway_transaction_id
1,1,credit_card,completed,84.00,2025-12-03 09:31:57+00,TXN-CDA0C54F9F22
2,2,debit_card,completed,292.18,2025-04-20 09:30:33+00,TXN-AF4470A416EE
3,3,credit_card,completed,429.98,2025-11-08 22:42:57+00,TXN-70FEB7CA6B45
4,4,apple_pay,completed,371.99,2024-10-25 12:43:29+00,TXN-AB4800A64D4E
5,5,credit_card,completed,119.98,2024-11-01 16:50:32+00,TXN-6F3FA3B2A78D
6,6,credit_card,completed,958.75,2024-07-01 20:11:54+00,TXN-89EA1552C3A4
7,7,credit_card,completed,65.97,2024-07-13 02:18:54+00,TXN-0846E82F6890
8,8,debit_card,completed,523.98,2024-10-04 16:00:33+00,TXN-D4A2E7DFC681
9,9,credit_card,completed,229.97,2024-10-25 11:34:43+00,TXN-C5D3DD1F913B
10,10,credit_card,completed,98.00,2024-12-01 18:05:43+00,TXN-750501E6C9E7
11,11,credit_card,completed,349.97,2025-09-21 04:05:29+00,TXN-841CAC24DBC2
12,12,paypal,completed,35.98,2024-11-16 22:46:47+00,TXN-5C230DD6DB23
13,13,credit_card,completed,132.09,2024-11-24 04:35:47+00,TXN-7AA351B2B749
14,14,credit_card,completed,361.98,2024-12-12 13:23:07+00,TXN-E60130C1DAC3
15,15,credit_card,completed,249.99,2025-11-06 07:50:18+00,TXN-DB868313D689
16,16,credit_card,completed,59.98,2025-01-02 00:29:56+00,TXN-7D59CF591909
17,17,debit_card,completed,139.98,2025-08-26 10:26:07+00,TXN-BD7039364CC9
18,18,apple_pay,completed,349.98,2025-11-22 20:35:55+00,TXN-65BFCFFF6453
19,19,credit_card,refunded,529.97,2026-01-21 04:44:55+00,TXN-22DACC01BBDB
20,20,debit_card,completed,399.99,2026-02-22 14:44:55+00,TXN-9D356D85F278
21,21,paypal,completed,229.98,2024-05-04 09:38:49+00,TXN-367A4AABD8BC
22,22,debit_card,completed,69.99,2024-06-28 20:08:49+00,TXN-A31BE038887A
23,23,upi,completed,119.98,2024-08-09 22:25:49+00,TXN-76730A36FCE2
24,24,credit_card,completed,33.99,2024-10-12 08:04:06+00,TXN-019001DF2CC3
25,25,debit_card,completed,119.99,2025-08-24 05:58:07+00,TXN-278B3F8D4DF6
26,26,debit_card,completed,48.48,2025-09-03 12:54:07+00,TXN-37FC1411EE58
27,27,credit_card,failed,319.98,2024-12-01 07:16:46+00,TXN-0B9BD0489792
28,28,apple_pay,completed,94.99,2025-01-23 17:24:46+00,TXN-881CDFEC3A61
29,29,credit_card,completed,89.99,2024-12-29 07:24:42+00,TXN-EA008ED9E2C4
30,30,apple_pay,completed,59.97,2024-03-10 17:14:25+00,TXN-08D66F4AFCA0
31,31,debit_card,completed,169.98,2025-06-17 09:44:58+00,TXN-86D54221A881
32,32,debit_card,completed,221.99,2025-09-21 17:47:06+00,TXN-D1F9FC992FD1
33,33,credit_card,completed,274.96,2025-09-30 23:12:06+00,TXN-0E96843F81A6
34,34,credit_card,completed,196.97,2025-11-06 03:42:06+00,TXN-4025B25CDA1F
35,35,apple_pay,completed,33.99,2025-12-20 14:10:06+00,TXN-8AC4F2234D05
36,36,credit_card,completed,35.98,2025-11-13 16:29:02+00,TXN-4121913D7D65
37,37,debit_card,completed,27.99,2024-06-03 04:43:03+00,TXN-DC7B445F27D3
38,38,paypal,completed,78.47,2024-03-04 01:00:34+00,TXN-0793870507AB
39,39,paypal,refunded,315.47,2024-04-21 08:48:34+00,TXN-1DD17CF0E3B5
40,40,credit_card,completed,75.98,2025-10-29 17:02:06+00,TXN-A6D490640873
41,41,debit_card,completed,70.98,2025-12-20 00:38:06+00,TXN-3A0CF8820586
42,42,debit_card,completed,79.90,2026-01-30 10:32:06+00,TXN-524605B1D02A
43,43,credit_card,completed,35.98,2024-01-09 12:32:44+00,TXN-A5E36117499F
44,44,paypal,completed,314.97,2024-02-15 01:29:44+00,TXN-C401AFA5DB1F
45,45,debit_card,completed,449.96,2024-03-30 02:44:44+00,TXN-4472E668BA57
